,Unnamed: 0,name,description,0,1,2,3,4,5,lng,lat,region,placeid,region2,region2_en,pic0,pic1,pic2,town,addr
2425,2425,白玉瀑布,白玉瀑布位於知本溫泉區域內，原名白玉瓏，是一個十分容易到達欣賞的瀑布，只要由忠義堂附近的產業道路往樂山方向前進約50公尺就可看見停車場及步道。  白玉瀑布雖然規模不大，但因其位於知本溫泉區附近，秀麗且容易前往的特色，也吸引不少遊客前往一親芳澤。,1,0,0,0,0,0,121.01704,22.68737,臺東縣,2426,臺東,Taitung,,,,太麻里鄉,臺東縣954卑南鄉知本大飯店附近
2428,2428,知本溫泉,以泡湯聞名全臺的知本溫泉，是臺灣規模完善的知名溫泉鄉，更名列臺灣八大名景之一。知本溫泉屬於弱鹼性碳酸氫鈉泉，清澈無色，富含礦物質。知本溫泉裡大小觀光飯店林立，記得找個適合自己的溫泉飯店，充分享受，溫泉村附近也有一些小據點可以遊玩踏青，例如白玉瀑布、清覺寺、知本森林遊樂區等，都值得一遊。,0,1,0,0,0,0,121.01812,22.69304,臺東縣,2429,臺東,Taitung,,,,太麻里鄉,臺東縣954卑南鄉知本溫泉風景區
2430,2430,清覺寺,於民國四十四年開山立基的清覺寺，位於臺東縣的知本溫泉區內，古色古香，環境清幽。寺廟背枕龍泉山，居高臨深，除了前來朝聖外，也可以眺望知本溪中上游山嶺溪谷。當年清覺寺是由潘雲梧居士與數位居士發動募款興建。而目前寺內的大雄寶殿則為民國六十二年所重建的。寺體建築為三層飛簷設計，高六點二丈，主要是供奉釋迦摩尼佛；寺內供奉著兩尊大佛，一座來自泰國四尺高的銅鑄釋迦牟尼佛坐像，為臺東信徒所奉獻；另一座達四千斤重、八尺高的緬甸玉佛，則是臺北的信徒所捐獻。寺方為了能使佛法弘揚，於清覺寺設有壽光圖書館，位於大雄寶殿下層，其中收藏著臺東寺院之中，少有的全套大藏經卷。每逢農曆四月八日佛誕、七月二十二至二十四日盂蘭盆法會、二月十九日觀世音誕辰、七月三十日地藏王法會，都會湧入大批的信徒，誦經梵唱。殿內莊嚴肅穆，氣派宏偉，廟前階梯旁有著兩座大白石象，模樣生動，遊客們很喜歡和大白石象合照留念。廟前廣場設有花草平台、涼椅及涼亭，提供香客和遊客休憩。,0,0,1,0,0,0,121.00671,22.69277,臺東縣,2431,臺東,Taitung,,,,太麻里鄉,臺東縣954卑南鄉溫泉村龍泉路113巷21號
2462,2462,原住民祖先發祥地碑,根據卑南族口述傳說，臺灣原來是沉在海底的，蘭嶼和綠島之間有陸地相連。後來，臺灣島浮出海面，原來居住的陸地沉入了海底，連太陽和月亮也不見了，只剩下五位兄弟姊妹存活下來。其中一位男孩被推上天，成為太陽，一位女孩成為月亮，其他的一男二女，漂流到臺東太麻里鄉三和村及華源村附近的山上。而這個登陸的地方族人稱為「陸發安」或「巴拿巴拿樣」，在卑南族語裡，就是發祥地的意思。亦為原住民祖先發祥地碑所在。民國49年在三和村海邊旁的山坡上豎立「臺灣原住民祖先發祥地」，八十年代經地方人建議，才引起重視，由縣府爭取經費重新整建擴大園區面積及設施、加設解說牌、雕刻建物等美化、綠化，才有至今的規模。每年清明時節，知本、建和兩社的卑南族人，都會前來祭祖，表達慎終追遠不忘祖先之恩。東河鄉都蘭部落的阿美族人為履行先人交代，也在此立祀台，定期前來祭拜表達懷念祖先之意。原住民祖先發祥地碑現場有卑南族遷徙說明、艱辛遷徙紀念圖、卑南族紀念碑文、紀念石碑，可循水泥階梯前進，一一瀏覽，協助遊客和原住民的後代更瞭解原住民遷徙到臺灣的過程。,0,0,1,0,0,1,121.03341,22.66802,臺東縣,2463,臺東,Taitung,,,,太麻里鄉,臺東縣963太麻里鄉三和村及華源村交界處公路邊
2463,2463,金崙溫泉風景區,金崙溫泉位於太麻里鄉金崙村，是臺東縣境內遠近馳名的野溪溫泉。泉水屬於弱鹼性碳酸氫鈉泉，pH值在7至8之間，無色透明且帶點硫磺味，溫度約攝氏70℃至90℃度左右，所以在泡時要小心水溫過高，最好是加入冷泉或讓它自然冷卻。 金崙溫泉水脈蘊藏量豐富，溫泉周邊環境風景原始自然，四面有翠綠山林環繞，在冬季時溪畔盛開的野櫻，讓人在享受到泡湯的同時也能被這片美麗的自然景色所感動，感覺就像被山林溫暖的環抱住，忙亂的步調、快超重的壓力都能在這時光彷彿靜止的溫暖泉水中得到適度的釋放。,0,1,0,0,0,0,120.93902,22.52985,臺東縣,2464,臺東,Taitung,,,,太麻里鄉,臺東縣963太麻里鄉金崙溪畔
2464,2464,千禧曙光紀念園區,第一道曙光千禧曙光紀念園區得名於西元2000年1月1日，當年全球狂歡迎接21世紀，在這片海灘上舉辦的千禧迎曙光音樂會，同時與25個國家連線轉播，太麻里這片海域成為全世界的注目焦點。之後每年都會在此舉辦跨年音樂祭活動，除有親子互動體驗、樂團駐唱，還有原住民樂舞、升旗典禮等精彩豐富的活動。日昇之鄉太麻里的排灣族語為「Tjavualji」，意思是太陽升起地方，太麻里鄉即為日昇之鄉。在日昇之鄉迎接第一道曙光，現在已成為台灣指標性的跨年活動之一。園區內也設置了「曙光紀念牆」與「曙光紀念碑」，不要錯過囉！親子遊憩行經南迴公路時，不妨到千禧曙光紀念園區停留一會兒，傍晚時分欣賞晚霞美景、享受海風，也可以踏踏海水，洗去通勤的疲累。,0,0,0,1,1,0,121.01069,22.6168,臺東縣,2465,臺東,Taitung,,,,太麻里鄉,臺東縣963太麻里鄉火車站前曙光大道跨越台9線的海邊
2465,2465,三和海濱公園,一看到顯眼的水藍色海馬造型入口立碑，就知道來到了三和海濱公園，園內設施也相當新穎，有簡易漁港、魚貨拍賣場、魚具室、觀景亭、兒童遊戲場、親水池、表演舞台、自行車道、入口意象等公共設施；走上觀景平台，可以遠眺太平洋的遼闊景色，令人心胸舒暢。海濱公園內採用先進的太陽能及風力發電設施，供應夜間公園照明、或部落重要慶典使用。風力發電的風車非常具有特色，陣陣海風吹來，風車就如歌行板地轉動起來，再加上椰影婆娑、舟影點點，眼前景致充滿異國風情。舊稱「鰹仔罾」的三和漁港緊鄰一旁，漁港有柴魚加工廠、柴魚博物館，是太麻里鄉定置網漁業上岸港口，透過架設於黑潮經過之地的方式，常常捕獲一些如金梭魚的大型食用魚，每日上午8時30分或下午4時30分為魚貨上岸及拍賣時間，此時漁港人聲鼎沸，吆喝叫賣聲此起彼落，熱鬧不已。,0,0,0,0,1,0,121.03573,22.66993,臺東縣,2466,臺東,Taitung,,,,太麻里鄉,臺東縣963太麻里鄉三和村台9線旁
2532,2532,樂山休閒農場,充滿綠意的門口有著大大的「樂山」二字，彷彿感受到了農場主人熱情的招呼，農場內有種植了許多蔬菜及水果，以及圈養了許多種類的動物，包括麝香豬、山豬、羊、雞、狗等等，充分令人體驗到濃厚的田園樂趣。  若遊客入住在農場內，便可輕鬆自在的觀看臺東的日出以及欣賞夜景；晚上在此吃飯喝茶暢聊天南地北之餘，更有大家很愛的卡拉ok助興，使得農場的白天和夜晚都相當的熱鬧不已。 由於農場主人的用心，將農場規劃的盡善盡美，其可愛純樸的田園造景，使得遊客們都能在農場內玩的非常盡興，是一處集合眾多功能的開心農場。,0,1,0,0,0,0,121.00395,22.68595,臺東縣,2533,臺東,Taitung,,,,太麻里鄉,臺東縣954卑南鄉溫泉村樂山65號
2544,2544,知本忠義堂,"位於溫泉飯店林立的龍泉路上，忠義堂廣為人知的不是傳奇的民間故事，是充滿佛心地提供溫泉讓大家使用，只需隨喜樂捐，讓廟方支付清潔、保養的費用，是當地人自在的溫泉澡堂，也是在外旅人洗淨一身疲累的「溫心」景點。除了溫泉，廟方也提供膳房給外來客住宿，泡湯清一色為浴室間並無公共浴室之設施。浴室內極具古早味，小塊彩色磁磚的水泥浴缸，搭配簡易的水龍頭、衣物掛勾等設備，簡樸的模樣會讓人不自覺感受到古早的氛圍。偶而讓旅行回到最單純的減法模式，體驗和精緻旅遊行程截然不同的在地深度遊玩行程。2022/4/19起開始陸續搬遷新址（知本白玉瀑布路口處對面）,浴室及住宿於新址將以付費方式繼續提供民眾使用，如有相關問題，歡迎撥打089-512884洽詢。",0,1,0,0,0,0,121.01604,22.69227,臺東縣,2545,臺東,Taitung,,,,太麻里鄉,臺東縣954卑南鄉溫泉村龍泉路38號
2564,2564,瀧部落,多良村為太麻里鄉最南端的一個村落，分為上多良與下多良，現在居民多居住於下多良。在入口沿著小徑上去，轉幾個彎之後，就可以看到廢棄多年的多良車站。多良車站被喻為臺灣最美麗的車站，也是許多攝影愛好者的聖地。來到多良，還可到向陽薪傳木工坊參觀，木工坊的位置是已廢棄的多良國小原址，除了製作大型木工家具，也有製作可供小孩子玩的七巧板等童玩。木工坊的成立是在88風災後，許多熱心人士出錢出力規劃而成，目的是作為部落發展木工創作的基地，協助部落開啟漂流木工藝創意產業，讓部落青年有機會在自己的家鄉工作。在瀧部落裡，飲食與住宿的選擇不多，若遊客有住宿的需求，建議可往金崙市區走，將會有更多選擇。金崙同時也是著名的泡湯區，有許多提供泡湯的民宿。【資料來源：部落背包客豐台東】,0,1,0,1,0,0,120.9553,22.51008,臺東縣,2565,臺東,Taitung,,,,太麻里鄉,臺東縣963太麻里鄉下多良村
2568,2568,拉勞蘭部落,這裡是一個很不一樣的排灣族部落，部落原本位在香蘭山上，日治時期被迫下山來，經過幾次的遷移到了現在新香蘭的地方，跟阿美族人混居在一起。因此每年七月，在新香蘭這裡會有阿美族豐年祭，也會有排灣族的收穫祭。  走進拉勞蘭部落不久，可以看到部落接待中心，同時也是部落產業發展重要據點的小米工藝坊。拉勞蘭部落致力推廣小米種植，在部落後方的山坡上種有兩甲的小米園。近來養生的概念盛行，小米的好處逐漸受到重視。 拉勞蘭部落裡有位知名的原住民作家亞榮隆‧撒可努，其第一本著作「山豬、飛鼠、撒可努」，以生動有趣的文字，傳遞原住民對於環境的保護和對自然的尊重。  詳細現況，可至拉勞蘭部落 Facebook官方粉絲團關注。【資料來源：部落背包客 豐台東 部落旅遊指南書】,0,0,0,1,0,1,120.98878,22.57585,臺東縣,2569,臺東,Taitung,,,,太麻里鄉,臺東縣963太麻里鄉新香蘭
2577,2577,華源海灣,位於太麻里鄉內、南迴公路上的第一道曙光紀念公園，每到元旦總會有許多人到訪並歡呼著等待新年第一道曙光降臨，其美麗的海岸風景也是迷人的一部分；不過在曙光紀念公園之外，還有一處較不為人知的海灣，一樣擁有美麗的海岸風情。它名叫華源海灣。顧名思義，海岸旁道路轉入就是太麻里鄉的華源村，這裡位於中央山脈與太平洋之間，是觀賞日出的絕佳地點，天氣好的時候也可看見綠島與蘭嶼，碧海藍天，配上平整的沙灘，不用出國也可以享受身在南國的熱帶氣息。為方便旅客前來，南迴公路旁設有臨時停車場與涼亭，海灘上也有使用漂流木建造的心形立牌與「平安」兩字，就是希望能夠吸引人駐足欣賞，挖掘屬於這裡的美。,0,0,0,0,1,0,121.02894,22.66254,臺東縣,2578,臺東,Taitung,,,,太麻里鄉,臺東縣963太麻里鄉台9線395.5公里
2585,2585,阿底旦文化故事館,「阿底旦文化故事館」位於臺東縣太麻里鄉多良村，在全臺最美麗的車站－「多良車站」上方，是多良國小裁撤後的廢棄校舍改裝而成。排灣族古早對自己的稱呼是「阿底旦」自稱為「土地的朋友」，他們將大自然中的所有生物都視為與人類同一層次，尊重每一個生物也善用每一個自然資源，而排灣族的階層社會也是臺灣最早出現的一種社會企業模式，即如同現今向陽薪傳木工坊的精神以陪伴部落發展在地產業為宗旨，讓原鄉的遊子找到回家的路。館內主要呈現排灣族人的傳統文化智慧及向陽薪傳木工坊的社會企業精神，並展示木製生活用品的運用，以及在地素人工藝品展。週邊結合金崙溫泉、多良車站、大武山生態教育館成為南迴公路上文化觀光最佳去處。,0,1,0,1,0,0,120.95909,22.50816,臺東縣,2586,臺東,Taitung,,,,太麻里鄉,臺東縣963太麻里鄉多良村2鄰15號
